job_id,job_title,company,salary_min,salary_max,yrs_of_exp_min,yrs_of_exp_max,job_city,due_date,job_details,job_requirements,job_benefits,location,other_info
35C17D4F,Business Development / Technical Sales,CÔNG TY TNHH TRANSCOSMOS VIỆT NAM,25.0,30.0,2,3,Hồ Chí Minh,2024/10/21,"Mô tả Công việc Manage and develop an organization's BI strategy including working with senior management to identify business goals and objectives and then designing and implementing a BI solution that meets those goals.Identify, target and approach potential clients through various channels including online research, networking events, and referrals.Build and maintain strong, long-lasting client relationships to expand new projects.Stay up-to-date with industry trends, competitor activities, and market conditions.Provide feedback to the product development team to enhance our business intelligence offerings.Educate stakeholders to understand concept of business intelligence services.","Yêu Cầu Công Việc Bachelor’s degree in Business Administration, Information Technology, Data Sciense, Business Intelligence, Consultant or a related field.At least 2 years of experience as a Technical Sales/ Pre-sale with proven business intelligence projects implementing to external clients.Good command of English communications skills (speaking, listening, reading, and writing).Understanding of business intelligence concepts and solutions.Aptitude to learn and understand new and emerging technologies.","Laptop,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Nghỉ phép năm","Địa điểm làm việcHồ Chí Minh                        Moc Gia Building, 123 Cong Hoa Street, Ward 12, Tan Binh District, HCMC","Thông tin khác Bằng cấp:                Đại học          Độ tuổi:                Không giới hạn tuổi          Thời gian làm việc: - Monday – Friday and Bi-weekly Saturday, from 8AM - 5PM.  Phúc lợi:      - Promotion opportunities.- Periodical bonus: twice/year.- Salary increase: once/year.- 13th-month salary.- Insurances followed Vietnamese Labor Law.- Bonuses, gifts for Holidays.- Activities: Birthday party, Employee engagement activities.Lương:                   25 Tr - 30 Tr       VND"
35C1FE10,DMS System Admin,CÔNG TY TNHH GLOBAL COMMERCIAL PARTNER,11.0,14.0,1,3,Hồ Chí Minh,2024/11/08,"Mô tả Công việc Vận hành & tối ưu hóa hệ thống CRM và DMS:-       Đảm bảo các hệ thống CRM (Customer Relationship Management) và DMS (Distribution Management System) hoạt động ổn định, thông tin được cập nhật đầy đủ, chính xác và kịp thời.-       Phân tích và cải thiện các quy trình nhập liệu, quản lý thông tin khách hàng, quản lý đơn hàng và xử lý báo cáo trên hệ thống CRM và DMS để nâng cao hiệu suất-       Đào tạo và hỗ trợ người dùng nội bộ và các đối táctrong việc sử dụng hệ thống CRM và DMS. Giải quyết các vấn đề kỹ thuật và hỗ trợ kịp thời khi có sự cố phát sinh.Phát triển và nâng cấp hệ thống CRM và DMS:-       Làm việc với các phòng ban để hiểu rõ nhu cầu của người dùng, từ đó đề xuất các giải pháp cải tiến và nâng cấp hệ thống CRM và DMS nhằm đáp ứng tốt hơn yêu cầu quản lý và kinh doanh.-       Phối hợp với các nhà cung cấp phần mềm để triển khai các dự án nâng cấp hệ thống hoặc tích hợp các tính năng mới để đảm bảo tính tương thích và hoạt động hiệu quả-       Đảm bảo dữ liệu được tích hợp liền mạch giữa hai hệ thống, giúp theo dõi và quản lý thông tin khách hàng, đơn hàng và dữ liệu phân phối một cách hiệu quả.Báo cáo hiệu quả kinh doanh:-       Sử dụng dữ liệu từ hệ thống CRM và DMS để phân tích hiệu suất bán hàng, tình hình phân phối và các chỉ số hiệu quả khác.-       Phát triển các báo cáo kinh doanh tự động hóa trên hệ thống CRM và DMS, hỗ trợ theo dõi kết quả kinh doanh, hiệu quả hoạt động của đội ngũ Sales và nhà phân phối.Thực thi hệ thống CRM và DMS tại thị trường:-       Theo dõi và đánh giá việc tuân thủ quy trình sử dụng CRM và DMS của đội ngũ Sales và nhà phân phối-       Theo dõi hoạt động bán hàng tại các điểm bán thông qua dữ liệu trên CRM và DMS, đánh giá chất lượng thực thi và hiệu suất làm việc của đội ngũ Sales và nhà phân phối.-       Thực hiện các buổi đào tạo định kỳ để nâng cao hiệu quả sử dụng hệ thống CRM và DMS, đảm bảo mọi người dùng đều nắm vững quy trình và tiêu chuẩn vận hành.","Yêu Cầu Công Việc Trình độ học vấn:Tốt nghiệp Cao Đẳng/Đại học chuyên ngành Hệ thống Thông tin, Công nghệ Thông tin, Quản trị Kinh doanh hoặc các lĩnh vực liên quan.Kinh nghiệm:-       Tối thiểu 1-3 năm kinh nghiệm trong quản lý hệ thống CRM và DMS hoặc các hệ thống công nghệ quản lý bán hàng và phân phối tương tự.-       Có kinh nghiệm làm việc với các nhà cung cấp phần mềm và quản lý các dự án triển khai, nâng cấp hệ thống là một lợi thế.Kỹ năng:-       Kỹ năng phân tích và xử lý dữ liệu tốt, có khả năng sử dụng các công cụ phân tích như Excel, Power BI, Tableau.-       Kỹ năng quản lý dự án và làm việc với các bên liên quan (internal và external).-       Kỹ năng giao tiếp và truyền đạt thông tin hiệu quả, đặc biệt trong việc đào tạo và hướng dẫn người dùng.Kiến thức:-       Có kiến thức về các quy trình quản lý bán hàng, quản lý khách hàng và phân phối.-       Hiểu biết về cơ sở dữ liệu, hệ thống quản lý dữ liệu và các công cụ hỗ trợ quản lý bán hàng, phân phối.Tính cách:-       Tư duy logic, khả năng làm việc độc lập và xử lý vấn đề nhanh chóng.-       Chủ động, cầu tiến và có tinh thần trách nhiệm cao trong công việc.** Quyền lợi:-  Thu nhập hấp dẫn: Lương cạnh tranh cùng các khoản thưởng theo hiệu quả công việc và kết quả kinh doanh.-  Chế độ đãi ngộ toàn diện: Được hưởng đầy đủ các chế độ bảo hiểm xã hội, bảo hiểm y tế và các chế độ phúc lợi khác theo quy định của công ty.-  Cơ hội phát triển nghề nghiệp: Được tham gia các khóa đào tạo nâng cao chuyên môn và kỹ năng, cơ hội thăng tiến trong sự nghiệp.** Thời gian làm việc: Từ Thứ 2 đến Thứ 6, 8:30 - 18:00. Thứ 7, 8:30 – 12:30. (Nghỉ trưa 1:30’)","Laptop,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Công tác phí,Nghỉ phép năm","Địa điểm làm việcHồ Chí Minh                        Khu Dự Án Dân Cư Sài Gòn Mystery Villas, Phường Bình Trưng Tây, Quận 2, Hồ Chí Minh",Thông tin khác Bằng cấp:                Cao đẳng          Độ tuổi:                Không giới hạn tuổi         Lương:                   11 Tr - 14 Tr       VND
35C20507,Network Administrator - Khối Công nghệ thông tin (HO24.234),Ngân Hàng TMCP Quân Đội,,,1,,Hà Nội,2024/11/09,"Mô tả Công việc  Triển khai, cấu hình, vận hành, giám sát hệ thống mạng tại các đơn vị, các trung tâmvùng, mạng lõi. Triển khai, cấu hình, vận hành, giám sát hệ thống hỗ trợ quản trị CNTT (DNS, NTP,DHCP, Zabbix, Cacti, PRTG,...) Xây dựng các tài liệu, hướng dẫn, quy trình đảm bảo kết nối hệ thống thông tin ổn định,an toàn. Tham gia phối hợp xây dựng, triển khai áp dụng/ ứng dụng các tiêu chuẩn kết nối hệ thốngthông tin ổn định, đảm bảo tuân thủ thông lệ quốc tế yêu cầu trong các tiêu chuẩnnhư ISO27001, PCI DSS, NIST,… Nghiên cứu các công nghệ, kỹ thuật, ứng dụng phục vụ đảm bảo kết nối an toàn bảo mật cho hệ thống thông tin của ngân hàng.","Yêu Cầu Công Việc  Tốt nghiệp Đại học các chuyên ngành đào tạo:Công nghệ thông tin, Toán tin, Điện tử Viễn thông, Công nghệ máy tính, Công nghệ mạng máy tính, hoặc tương đương với các chuyên ngành liên quan đến lĩnh vực mạng/ hạ tầng kết nối mạng viễn thông (GPA đạt từ mức Khá trở lên) Tối thiểu 01 năm kinh nghiệm triển khai, vận hành, giám sát hệ thống mạng kết nối (với các thiết bị của các hãng như Cisco (bắt buộc), HP, Juniper, Extreme, CheckPoint, Palo Alto, Fortinet...); Đã trực tiếp cấu hình, tham gia dò tìm các lỗi liên quan đến cấu hình, thiết lập hệ thống mạng thông tin kết nối Hiểu biết về các hệ thống giám sát, theo dõi, phân tích kết nối/lưu lượng dữ liệu qua đường truyền mạng Hiểu biết, có kinh nghiệm thực hiện đáp ứng tuân thủ các tiêu chuẩn quốc tế về An toàn thông tin như ISO27001, PCI DSS, NIST,… là 1 lợi thế Hiểu biết về công nghệ mạng kết nối định nghĩa bởi phần mềm (SDN), có chứng chỉ liên quan là 1 lợi thế Có kinh nghiệm làm việc trong các tổ chức tài chính,ngân hàng lớn (quy mô >500 nhân sự) là 1 lợi thế TOEIC 450 trở lên hoặc chứng chỉ tương đương. Có khả năng đọc hiểu tài liệu kỹ thuật, giao tiếp tiếng Anh để theo dõi, giám sát và tối ưu hệ thống là điều kiện bắt buộc","Chế độ bảo hiểm,Du Lịch,Phụ cấp,Du lịch nước ngoài,Đồng phục,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Công tác phí,Phụ cấp thâm niên,Nghỉ phép năm,CLB thể thao",,Thông tin khác Bằng cấp:                Đại học          Độ tuổi:                Không giới hạn tuổi         Lương:       Cạnh tranh
35C1C837,Electrical Design Engineer ( Shipbuilding company), Công Ty TNHH MTV Piriou Việt Nam,,,2,5,Hồ Chí Minh,2024/10/15,Mô tả Công việc JOB TASKSPrepare electrical drawingsMake a calculation to define equipmentEnsure the design is consistent with the terms of the contractPrepare the purchasing specification of equipmentPrepare the request for quotation and/or purchaseKeep the weight estimation of the vessel up to date regarding the latest informationMake sure the technical documentation available is up to dateAttend the trials of the vesselFollow-up the regulation evolutionRemains aware of the latest technological innovation and working methods* RESPONSIBILITY & AUTHORITYResponsible for the accuracy of the drawings issuedResponsible in maintaining productivity by accomplishing task within the allotted hoursReports regularly and accurately to the officer,"Yêu Cầu Công Việc University's degree in naval architect, shipbuilding technical or related fieldsAt least 2 years of experience in the same positionExperience in electrical design and in the naval environment would be a plusExperience with 3D ship design software, including AutoCAD and performing design model for system design principles and practicesFamiliar with Class Rules & IEC standardsInnovative and engineering spiritCritical and analysis mindedDynamic, Organized, thorough and meticulousGood communication skillsExperience in working both independently and in collaborative environments.Working timeFrom 7:30am to 16:30pmLunch break for 1 hour from 11:30am to 12:30pmEven weeks – 48H – Monday to SaturdayOdd weeks – 40H – Monday to FridaySALARY & BENEFITS:Competitive salaryThe company is in charge of paying PIT, SI, HI, JI for employees24 days annual leave/ year13th month salary and bonusAccident insurance 24/24Healthcare insurance.Annual health checkGifts for birthday, Holidays, Lunar new year eve.Shuttle bus for remote employees","Chế độ bảo hiểm,Du Lịch,Xe đưa đón,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Phụ cấp thâm niên","Địa điểm làm việcHồ Chí Minh                        1042 Huỳnh Tấn Phát, Ấp 5,  xã Phú Xuân, Nhà Bè, Thành phố Hồ Chí Minh",Thông tin khác Bằng cấp:                Đại học          Độ tuổi:                        24 - 45                 Lương:       Cạnh tranh
35C1E007,SAP Consultant (PP/ PM/ QM),Công ty Cổ phần Sữa VitaDairy Việt Nam,,,2,5,Hồ Chí Minh,2024/11/01,"Mô tả Công việc Nhận chuyển giao kỹ thuật, sourcecode SAP từ các đối tác.Tiếp nhận tài liệu nghiệp vụ từ khách hàng hoặc nhân viên tư vấn.Phát triển chức năng, tìm ra các lỗ hổng và các logic không phù hợp thiếu sót trong các chức năng customize từ đơn vị triển khai.Lập trình và tối ưu hóa các chức năng, báo cáo, biểu mẫu trên hệ thống SAP hoạt động ổn định, và hỗ trợ hiệu quả cho hoạt động sản xuất kinh doanh.Viết tài liệu kỹ thuật cho quy trình nghiệp vụ liên quan đến phân hệ PP/ PM/ QM trên hệ thống SAP phát sinh trong tương lai.Thu thập thông tin phản hồi và mong đợi từ Trưởng bộ phận, các SAP Functional, BPO, và Key User về cập nhật và phát triển mới chức năng, báo cáo, biểu mẫu trên hệ thống SAP.Nghiên cứu, tìm hiểu các ứng dụng hỗ trợ cải tiến quy trình phòng ban; Tham gia các dự án non-ERP.Tham gia các dự án CNTT của công ty để lập trình tích hợp, phát triển tính năng mới.","Yêu Cầu Công Việc 2-3 năm kinh nghiệm lập trình SAP.Có kinh nghiệm làm việc với ít nhất 1 trong các module PP/ PM/ WM.Đã triển khai mô-đun SAP từ đầu đến cuối.Thiết kế, cấu hình và thử nghiệm các chức năng của SAP.Đã làm việc với ECC và S4/HANA.","Laptop,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Đồng phục,Chế độ thưởng,Đào tạo,Nghỉ phép năm","Địa điểm làm việcHồ Chí Minh                        Saigon Trade Center, Đường Tôn Đức Thắng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh",Thông tin khác Độ tuổi:                Không giới hạn tuổi         Lương:       Cạnh tranh
35C197A1,Chuyên viên Quản trị Vận hành Hệ thống,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),,,1,,Hà Nội,2024/10/30,"Mô tả Công việc '1. Thực hiện quản trị vận hành toàn bộ mảng chuyên môn dưới đây:   - Tất cả các hệ thống máy chủ HĐH Windows Server hoặc UNIX/LINUX & Hệ thống ảo hóa, hệ thống lưu trữ, backup SAN/Storage/Tape;  - Hệ thống Security: Antivirus Endpoint, DLP, APT, Email Gateway, CyberArk/RSA của các hãng McAfee, Symantec, CyberArk    - Hệ thống & dịch vụ trên nền tảng Cloud: Azure &AWS;   - Hệ thống End User: Sao lưu dữ liệu trên máy trạm users tập trung, quản lý thiết bị Mobile SmartPhone;   - Hệ thống Quản trị mạng tập trung của các hãng: Manage Engine, Solarwin, IBM, HP, OpenSource …2. Giải quyết các yêu cầu có tính hệ thống, yêu cầu đặc biệt, chuyên sâu trên các Hệ thống dịch vụ hạ tầng & hệ thống bảo mật.3. Nghiên cứu và định hướng triển khai các giải pháp đối với các Hệ thống dịch vụ hạ tầng & hệ thống bảo mật nhằm đảm bảo hệ thống hoạt động ổn định, sẵn sàng, liên tục, đạt hiệu năng hoạt động cao và đáp ứng yêu cầu về tăng trưởng.4. Thực hiện công tác đào tạo đối với cán bộ Quản trị vận hành các Hệ thống dịch vụ hạ tầng & hệ thống bảo mật.5. Triển khai các dự án thuộc phạm vi chuyên môn và tham gia các dự án của ngân hàng.","Yêu Cầu Công Việc - Trình độ chuyên môn: tốt nghiệp đại học, chuyên nghành CNTT/Toán tin/Hệ thống thông tin quản lý/Công nghệ phần mềm;- Trình độ ngoại ngữ: có khả năng đọc & hiểu tài liệu tiếng Anh chuyên ngành kỹ thuật;- Tối thiểu 01 năm kinh nghiệm trong lĩnh vực CNTT tương đương- Sử dụng thành thạo các phần mềm tin học văn phòng: Word, Excel, PowerPoint, Project, Visio- Khả năng chịu áp lực và cường độ công việc lớn- Giao tiếp tốt, tuy duy hệ thống, khả năng ra quyết định- Có tính kỷ luật cao","Chế độ bảo hiểm,Du Lịch,Phụ cấp,Đồng phục,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Công tác phí,Nghỉ phép năm",,Thông tin khác Bằng cấp:                Đại học          Độ tuổi:                Không giới hạn tuổi         Lương:       Cạnh tranh
35C1FC55,Senior Data Engineer - Data Platform Center - Hà Nội,Ngân Hàng TMCP Việt Nam Thịnh Vượng - VPBANK,,,3,5,Hà Nội,2024/11/09,"Mô tả Công việc Nghiên cứu, đề xuất, tư vấn, triển khai giải pháp công nghệ, quy hoạch, tối ưu, quản lý dữ liệu và phát triển hệ thống cho hệ thống dữ liệu và báo cáo tuân thủ (thông tư, công văn của Ngân hàng nhà nước và các Tổ chức tuân thủ), nguồn dữ liệu trong nội bộ và từ các công ty con của ngân hàng. Tham gia quản lý BAU và xây dựng, triển khai các dự án và sáng kiến chiến lược liên quan. Đảm bảo các hệ thống dữ liệu và báo cáo nêu trên được phát triển một cách hiệu quả, bền vững và đáp ứng được yêu cầu của người sử dụng một cách tối ưu nhất. 1. Đóng vai trò lead chính trong việc thực thi:  Phân tích yêu cầu nghiệp vụ cho hệ thống dữ liệu Phân tích thiết kế luồng dữ liệu cho từng CR các phân vùng dữ liệu của DPC nhằm đáp ứng yêu cầu nghiệp vụ. Tham gia dựng môi trường, thực hiện lập trình phát triển, kiểm thử đơn lẻ (unit test) Tham gia golive các yêu cầu thay đổi hệ thống Tổ chức liên tục cải tiến tối ưu về mặt thiết kế, góp phần làm giảm thời gian xử lý dữ liệu cũng như tài nguyên sử dụng trên các hệ thống dữ liệu  2. Đóng vai trò tư vấn:  Tham vấn cho các đơn vị nghiệp vụ, trung tâm  và khối CNTT về giải pháp xử lý khắc phục khi xảy ra các lỗi phức tạp. Hỗ trợ phân tích xử lý lỗi vận hành hệ thống khi cần áp dụng kỹ thuật xử lý dữ liệu chuyên sâu.  Nâng cấp phần mềm, cài đặt triển khai các tầng ứng dụng có liên quan tới ETL, báo cáo, app C#. Với một số hệ thống ứng dụng có thể cần quản lý trực tiếp việc vận hành dữ liệu và báo cáo  3. Hỗ trợ, cùng tham gia trực tiếp triển khai, hoặc được tham vấn ý kiến để hoàn thành các công việc:  Nghiên cứu phát triển các giải pháp, công nghệ mới liên quan tới Quản lý dữ liệu và báo cáo. Triển khai các sáng kiến chiến lược trên nền tảng công nghệ mới phục vụ cho việc duy trì ổn định và nâng cao dịch vụ thiết kế và quản lý dữ liệU Tham gia triển khai các dự án đặc thù theo chỉ đạo của BLĐ  4. Hỗ trợ gián tiếp trong việc hoàn thành các công việc sau:  Tiếp nhận, phân tích yêu cầu nghiệp vụ về nhu cầu khai thác và sử dụng số liệu phục vụ cho báo cáo nội bộ hoặc báo cáo tuân thủ. Sử dụng số liệu để tư vấn, kiểm tra tính logic và đầy đủ trong quy tắc tính do nghiệp vụ đưa ra Kiểm thử dữ liệu và hệ thống.  Quy tắc kiểm soát vận hành dữ liệu dựa trên logic thiết kế hệ thống  5. Hỗ trợ, cùng tham gia trong việc thực thi: Xây dựng phát triển, giao việc, quản lý đội ngũ chuyên môn trong phạm vi chức năng công việc được giao về:  Quản lý vận hành dữ liệu Phát triển giải pháp (phân tích nghiệp vụ, mô hình hóa lưu trữ, thiết kế logic xử lý dữ liệu) Phát triển giải pháp về nền tảng công nghệ, CSDL  6. Triển khai các dự án đặc thù theo chỉ đạo của BLĐ","Yêu Cầu Công Việc Yêu cầu công việc:  Tốt nghiệp Đại học hoặc cao hơn liên quan đến 1 trong các ngành kinh tế, tài chính, ngân hàng, hoặc công nghệ thông tin, khoa học máy tính, toán tin ứng dụng Tối thiểu 4 năm trong lĩnh vực quản lý dữ liệu/báo cáo/phân tích Yêu cầu kinh nghiệm: truy vấn, tổ chức, phân tích dữ liệu, phân tích yêu cầu nghiệp vụ ngân hàng, xây dựng báo cáo; Sử dụng các công nghệ cập nhật để xử lý dữ liệu để phát triển và vận hành; Kiểm thử dữ liệu và phần mềm tài chính ngân hàng; Triển khai cùng và quản lý đối tác công nghệ thông tin. Ưu tiên kinh nghiệm: Cơ sở dữ liệu quan hệ RDBMS, NoSQL; Thiết kế lập trình cho các hệ thống như hệ thống Data warehouse, Data lake, lakehouse, API, CI/CD. ETL, ELT, các dịch vụ xử lý dữ liệu và luồng dữ liệu dạng batch/stream, quản lý luồng vận  hành: SSIS, Datastage, ODI, , Spark, Airflow, DBT, Redshift v.v..; Có kinh nghiệm với ít nhất 1 trong các BI Tool là một lợi thế  Quyền lợi:  Thu nhập hấp dẫn, lương thưởng cạnh tranh theo năng lực (16-18 tháng lương/năm) Thưởng các Ngày lễ, Tết cạnh tranh Được vay ưu đãi với lãi suất hấp dẫn theo quy định của ngân hàng Chế độ ngày phép 12-18 ngày phép/năm theo cấp bậc Bảo hiểm sức khỏe VPBank care cho CBNV theo cấp bậc Được tham gia các khóa đào tạo tùy thuộc vào Khung đào tạo cho từng vị trí Thời gian làm việc: từ thứ 2 – thứ 6 & 02 sáng thứ 7/ tháng","Laptop,Chế độ bảo hiểm,Du Lịch,Phụ cấp,Du lịch nước ngoài,Đồng phục,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Công tác phí,Phụ cấp thâm niên,Nghỉ phép năm,CLB thể thao",,Thông tin khác Bằng cấp:                Đại học          Độ tuổi:                Không giới hạn tuổi         Lương:       Cạnh tranh
35C17AAE,Lập Trình Viên Game- Game Developers,Koei Tecmo Software Vietnam,,,,,Hà Nội,2024/10/20,"Mô tả Công việc 1. MÔ TẢ CÔNG VIỆC - Lập trình phần mềm Game cho các tựa game của tập đoàn KOEI TECMO - Phát triển Network Game (Windows, iOS, Android, …) 2. QUYỀN LỢI:- Nhận trợ cấp năng lực tiếng  Nhật JLPT.- Thưởng 2 lần /năm, tăng lương hàng năm, Đóng BHXH, BHYT, khám sức khỏe định kỳ.- Nghỉ thứ bảy, chủ nhật và các ngày lễ tết theo quy định của pháp luật.- Có cơ hội sang Nhật hoặc sang Singapore  học tập và làm việc.- Tham gia các khóa học ( Ngoại ngữ, Phần mềm..) bổ trợ cho công việc, chi phí do công ty chi trả.- Phúc lợi xã hội đầy đủ (Dã ngoại, du lịch, tổ chức tiệc 2 lần/ năm, tổ chức sinh nhật hàng tháng, Tiệc Noen...) * (Chỉ phỏng vấn ứng viên đạt yêu cầu thi sơ tuyển)Ứng viên quan tâm hãy gửi CV đến cho chúng tôi theo thông tin liên lạc bên dưới.Hãy sử dụng CV theo mẫu của Chúng tôi ( Tải mẫu CV theo đường link bên):  http://bit.ly/CVFormat-IT-QA","Yêu Cầu Công Việc -  Biết  ít nhất một  ngôn ngữ lập trình (C++, Java, PHP,...) -  Tiếng Nhật JLPT N3 trở lên hoặc tiếng Anh  TOEIC 800 trở lên hoặc IELTS 6.5 trở lên - Đãt tốt nghiệp đại học hoặc sắp tốt nghiệp đại học","Chế độ bảo hiểm,Du Lịch,Phụ cấp,Đồng phục,Chế độ thưởng,Chăm sóc sức khỏe,Đào tạo,Tăng lương,Công tác phí,Phụ cấp thâm niên,Nghỉ phép năm",,Thông tin khác Bằng cấp:                Đại học          Độ tuổi:                Không giới hạn tuổi         Lương:       Cạnh tranh
35C16404,Data Engineering,Ngân hàng TMCP Đại Chúng Việt Nam - PVcomBank,,,1,5,Hà Nội,2024/11/11,"Mô tả Công việc MÔ TẢ CÔNG VIỆC  Nghiên cứu công nghệ, giải pháp và phát triển việc lấy, chuyển đổi, làm sạch dữ liệu từ nhiều nguồn khác nhau, bên trong và bên ngoài, loại dữ liệu khác nhau (có cấu trúc, phi cấu trúc, bán cấu trúc), dữ liệu thời gian thực, dữ liệu theo định kỳ trở thành nguồn dữ liệu duy nhất, tin cậy đảm bảo dữ liệu luôn được cập nhật thường xuyên hoặc định kỳ từ nguồn Thực hiện xây dựng tiến trình ETL dữ liệu on-premise và on-cloud theo luồng data pipelines, tự động hóa luồng dữ liệu. Tham gia phân tích, xây dựng giải pháp tích hợp dữ liệu đáp ứng được yêu cầu/dự án của đơn vị nghiệp vụ Tham gia thiết kế và triển khai hồ dữ liệu (Data Lake), kho dữ liệu doanh nghiệp (Enterprise DataWarehouse & Datamart) Tham gia tiếp nhận, chuyển giao công nghệ, ứng dụng, giải pháp liên quan đến tích hợp dữ liệu Tiếp nhận và xử lý các yêu cầu hỗ trợ (level 2) khi hệ thống đưa vào khai thác vận hành thực tế; Phối hợp đánh giá hệ thống định kỳ để đưa ra các đề xuất cải tiến sản phẩm, dịch vụ theo khung quản lý chất lượng tại PVcomBank Tham gia phát triển các dự án chuyển đổi số Tham gia nghiên cứu, tư vấn và đề xuất áp dụng công nghệ mới nâng cao chất lượng, tối ưu nguồn lực phát triển  Tham gia các khóa đào tạo chuyên ngành theo khung năng lực của PVcomBank theo từng thời kỳ","Yêu Cầu Công Việc YÊU CẦU CÔNG VIỆC  Nắm vững cơ bản ngôn ngữ R/Python/Java hoặc ngôn ngữ lập trình tương đương Nắm vững cơ bản ngôn ngữ SQL, PLSQL, có kiến thức về các hệ quản trị cơ sở dữ liệu Oracle/MySQL/PostgreSQL và noSQL Có hiểu biết về các mô hình dữ liệu DataWarehouse, Data Lake, DataMart Có kinh nghiệm sử dụng công cụ tích hợp dữ liệu: Spark, Flink, IBM DataStage, Oracle ODI,…  Ưu tiên các ứng viên  Ham học hỏi tìm tòi sáng tạo cái mới Có hiểu biết về nghiệp vụ tài chính ngân hàng Đã từng triển khai sản phẩm lên AWS Có kinh nghiệm làm việc theo mô hình Agile/Scrum Có kinh nghiệm triển khai triển khai công cụ tích hợp dữ liệu Có kinh nghiệm về DataOps  Đãi ngộ chung  Được tham gia vào các dự án công nghệ lớn, các sáng kiến trọng điểm mang tính đột phá số hóa của Ngân hàng Trải nghiệm các kiến trúc, công nghệ mới nhất, làm việc trực tiếp với các đối tác hàng đầu thế giới (AWS, IBM, Temenos…) Môi trường năng động và cơ hội thăng tiến, với văn hóa doanh nghiệp mang bản sắc riêng Chế độ lương thưởng hấp dẫn  Bảo hiểm sức khỏe cao cấp (bảo hiểm toàn diện)","Chăm sóc sức khỏe,Nghỉ phép năm,CLB thể thao",,Thông tin khác Độ tuổi:                Không giới hạn tuổi         Lương:       Cạnh tranh
35C1B721,Quản lý Nhu cầu – Trung tâm Quản trị Dự án – Khối CNTT,Ngân Hàng TMCP Sài Gòn - Hà Nội ( SHB ),,,7,,Hà Nội,2024/11/12,"Mô tả Công việc 1. Tham mưu, giúp việc cho Ban Giám đốc Trung tâm và Ban Lãnh đạo Khối CNTT trong công tác chỉ đạo định hướng thay đổi dịch vụ CNTT, chuẩn bị kế hoạch, nền tảng đáp ứng sự thay đổi- Xây dựng các báo cáo tổng hợp danh mục nhu cầu, yêu cầu thay đổi. Phân tích đánh giá định hướng, đề xuất giải pháp triển khai tổng thể trong việc đáp ứng thay đổi (công cụ, nhân sự, giải pháp, ...)- Đề xuất những chương trình, hoạt động cải tiến nâng cao chất lượng dịch vụ CNTT;2. Tư vấn, kiến trúc lộ trình thay đổi đối với các nhu cầu, yêu cầu thay đổi dịch vụ CNTT tới các đơn vị nghiệp vụ nhằm đảm bảo hiệu quả và phù hợp- Tư vấn trong quá trình làm rõ nhu cầu, yêu cầu và xác định giải pháp triển khai- Đánh giá và đề xuất các phương án xử lý những sai khác về nhu cầu, yêu cầu từ các đơn vị nghiệp vụ khác nhau- Tổ chức các kênh trao đổi, quản lý kết quả làm việc, phản hồi nhằm xác định kế hoạch triển khai, kế hoạch cải tiến chất lượng các dịch vụ CNTT;3. Xem xét và thông qua kế hoạch triển khai và giải pháp xử lý vấn đề phát sinh liên quan tới hoạt động quản lý nhu cầu, yêu cầu thay đổi;4. Tổ chức công tác nghiên cứu, đề xuất áp dụng các biện pháp nhằm nâng cao hiệu quả, chất lượng quản lý yêu cầu CNTT;5. Thiết lập và Xây dựng mục tiêu định kỳ đối với công tác quản lý nhu cầu, yêu cầu thay đổi và lập kế hoạch triển khai.","Yêu Cầu Công Việc - Tốt nghiệp Đại học trở lên các chuyên ngành về CNTT; Ngân hàng; Quản lý hệ thống CNTT; Quản lý phân tích dữ liệu; … - Tối thiểu 07 năm kinh nghiệm công tác tại lĩnh vực CNTT, trong đó tối thiểu 03 năm kinh nghiệm Phân tích, phát triển, kiểm thử, hỗ trợ, vận hành hệ thống CNTT. - Ưu tiên có 1 trong các chứng chỉ về ITIL/ ITSM/ IT Demand Manager hoặc BRM. - Trình độ ngoại ngữ bậc 3 (B1) hoặc tương đương. - Sử dụng thành thạo các phần mềm tin học văn phòng, gồm bộ công cụ Microsoft Office liên quan như Microsoft Office Word, Excel, Power Point, Outlook e-mail.. - Khả năng chịu áp lực và cường độ công việc lớn - Giao tiếp tốt, tuy duy hệ thống, khả năng ra quyết định - Có tính kỷ luật cao","Chế độ bảo hiểm,Chế độ thưởng,Đào tạo",,Thông tin khác Độ tuổi:                Không giới hạn tuổi         Lương:       Cạnh tranh
