job_id,job_title,company,salary_min,salary_max,yrs_of_exp,job_city,due_date,job_details,job_requirements,job_benefits,location
1834855,"Java Developer (Spring, OOP)",Techcom Securities (Tcbs),24.0,60.0,0,Hà Nội,22 ngày,"Mô hình hóa các khái niệm lõi của nghiệp vụ, xây dựng nền tảng và khung của lõi API, phát triển tính năng cho các dòng sản phẩm tài chính (cổ phiếu, trái phiếu, chứng chỉ quỹ) và các dòng tính năng công nghệ (on-boarding, customer service, OTP/soft-token…)Trách nhiệm bao gồm, nhưng không giới hạn:-           Làm việc sát với team nghiệp vụ nhằm đưa ra giải pháp tối ưu mang lại giá trị cao nhất cho kinh doanh-           Hiểu yêu cầu nghiệp vụ, có khả năng mô hình hóa yêu cầu với dữ liệu, quy trình, đối tượng, công thức… để đưa vào thiết kế giải pháp-           Khả năng tư duy và thiết kế hệ thống có khả năng mở rộng cao, đáp ứng yêu cầu tổng quát của nghiệp vụ-           Phát triển nền tảng quản lý tài sản, bao gồm từ lõi API trên microservice đến luồn giao dịch của từng sản phẩm đầu tư trên các kênh khác nhau (iOS, Android, web)-           Tích hợp với các hệ thống hỗ trợ khác như CRM, DWH, các hệ thống trao đổi thông tin, gửi nhận thông tin, hệ thống bảo mật, phân quyền, quản lý định danh…-           Tìm hiểu các công nghệ mới nhất và lên chiến lược áp dụng cho hệ thống hiện tại","-           Tốt nghiệp đại học chuyên ngành CNTT/Kỹ thuật hoặc tương đương-           Nắm vững khái niệm Object Oriented Programming (OOP) và nguyên tắc thiết kế theo OOP. Hiểu nguyên tắc thiết kế theo khung SOLID-           Nắm vững các ngôn ngữ và framework: Core java, SpringMVC/SpringBoot, Reactive programming (Reactor, RxJava…)-           Nắm vững kỹ năng và framework testing (Unit Test, Jmeter, JMC…), tư duy viết code có thể kiểm thử được (testable code)-           Có kinh nghiệm với các DB và MQ: Oracle, MS SQL, RabbitMQ, Redis, PostgreSQL-           Có kinh nghiệm và tư duy theo phương pháp Agile-           Hiểu biết về các thư viện, framework trong cộng đồng: Apache…-           Ưu tiên ứng viên có kinh nghiệm lập trình với các ngôn ngữ khác: Go/Python-           Ưu tiên ứng viên có kinh nghiệm với Docker, Kubernetes, CI/CD, DevOps-           Ưu tiên ứng viên đã làm việc với các framework quy trình: BPM","Chăm sóc sức khoẻĐược hưởng đầy đủ các chế độ phúc lợi xã hội như: BHYT, BHXH, BH thất nghiệp theo quy định của LuậtĐào tạoCơ hội được đào tạo nâng cao nghiệp vụ chuyên mônKhácMôi trường làm việc năng động, chuyên nghiệp","119 Trần Duy Hưng, Cầu Giấy, Hà Nội"
1831526,IT Engineer (Thành thạo Tiếng Trung),Navigos Search's Client,36.0,38.4,0,Hưng Yên,10 ngày,"Khách hàng của Navigos Search là công ty sản xuất FDI 100% vốn của Đài Loan đang set up cần tuyển IT Engineer- Quy hoach, xây dựng hệ thông tin giám sát nhà máy việt nam- Chiu trách nhiệm bảo trì và quản lý hệ thống thông tin nhà máy- Đóng vai trò là của sổ tiếp nhận thông tin và dịch vụ tại việt nam  - Chịu trách nhiệm quản lý nguồn điện và nhu cầu sử dụng nguồn điện hiệu quả tài nguyên điện- Thực hiện các dự án khác nhau và xử lý các nhiệm vụ cấp trên giao phó",- Tốt nghiệp Đại học- Có ít nhất 3 năm kinh nghiệm làm vị trí tương đương trong các nhà máy sản xuất- Có thể làm việc được ở Hưng Yên- Thành thạo tiếng Trung,"Nghỉ phép có lươngCông ty mới set up, nhiều chế độ thăng tiếnMáy tính xách tayMức lương hấp dẫn","TL2, Hung Yen, Vietnam"
1831817,Full-Stack Developer,Navigos Search's Client,0.28800000000000003,0.40800000000000003,1,Hà Nội,11 ngày,"Responsibility:
    •   Programming and developing systems and applications of GaneshAID;
    •   Developing both Frontend and Backend according to each project's requirements;
    •   Supporting, improving and optimizing the system during operation;
    •   Building a high-quality reusable code that can be used in the future;
    •   Learning new technologies and stay up to date with current best practices;","•   1.5+ years of experience in VueJS, Typescript;
•   1.5+ years of experience working with PHP Laravel;
•   Experience working with RESTful APIs;
•   Detail-oriented, patient, passionate about programming, and eager to learn new technologies;
•   Able to handle work pressure effectively;
•   Strong analytical and problem-solving skills;
•   Capable of working both independently and as part of a team;","Thưởng13th monthly salary, Performance BonusChăm sóc sức khoẻHealthcare Plan and Insurance packageNghỉ phép có lương15 annual leaves","1st floor, Building 143 Doc Ngu Str. - Cong Vi Ward - Ba Dinh District - Hanoi"
1827921,New Business Strategy Officer (No Experience Required) (Hanoi Head Office - 431),"AEONMALL Vietnam Co., Ltd.",8.4,13.200000000000001,0,Hà Nội,1 ngày,"AEONMALL Vietnam Co., Ltd is a core enterprise of AEON group, specializing in shopping mall development and business operation. Based on the basic philosophy “The customer first”, we are continuing our efforts to create malls that enhance the quality of life, stimulate local economic activity and contribute to community life and culture.- Position: 01 New Business Strategy Officer- Work location: Hanoi Head Office, 3rd FIoor, East Office, AEON MALL Long Bien, No. 27 Co Linh Road, Long Bien Ward, Long Bien District, Hanoi- Working time: Monday - Friday, 8:30 AM - 5:30 PM- Report to: ManagerJOB DISCRIPTION1. Create and deploy digital plans following department yearly plan;2. Support Shopping Centers in execution new business initiatives and digital transformation projects;3. Negotiate with external vendors and partners to implement digital plans timely and effectively;4. Collect, analyze, evaluate the data to support and improve digital plans deployment;5. Provide ideas and plan for new business initiatives to maximize the company branding;6. Other duties assigned by the supervisors.","1. Bachelor's degree.2. No experienced required. Have working experience in relevant fields: Marketing, Data Analysis or Business Development is preferred. 3. Good communication in both Vietnamese and English;4. Sufficient computer skills (Word, Excel, PowerPoint).5. Be honest and careful.6. Be hard-working and adaptable to the needs of the working environment.BENEFITS:- 2 day-off per week.- 14 annual leave days per year.- Birthday leave with present.- 5 sick leave days per year with full-paid salary.- Additional health insurance 24h.- Training opportunities.- Annual teambuilding and company trip.- Health check once per year.- Bonus and salary review once per year (depend on Company business and staff working performance).- Have a chance to work in No. 1 Shopping Mall developer in Vietnam.- Professional environment for career development.- Young and dynamic colleagues.",Chăm sóc sức khoẻClear policies and benefits for employeesĐào tạoOpportunities to be trained and instructed by experienced leadersKhácWork with friendly & supportive colleagues and leaders,"27 Đường Cổ Linh, p. Long Biên, Long Biên, Hanoi, Vietnam"
1837352,SAP S/4Hana Consultant,Chi Nhánh Công Ty TNHH KPMG,,,1,Hà Nội,29 ngày,"We are looking for young and passionate fresh graduates/senior students to join our Technology Enablement (TE) Team in Ha Noi City. Your Job Description is as following.A successful candidate will be responsible for:• Support Client maintain system after Golive.• Has knowlegde about SAP.• Ensure robust design, testing, and deployment of SAP solutions.• Collaborate with project team members, providing strategic plans and actionable steps to achieve project goals.• Facilitate effective communication between technical teams and business stakeholders.• Manage and troubleshoot SAP programs to ensure seamless project execution.• Maintain and update SAP systems as necessary to meet project demands.• Report directly to Project Managers and/or clients on project progress, issues, and resolutions.• Ensure clear and consistent communication with stakeholders to align expectations and deliverables.","We expect that you will have•   Educational Background: Bachelor’s degree in Computer Science, Information Technology, Business, or a related field.•   Minimum of 1-3 years of experience in one or more of the following SAP.•   Demonstrated expertise in SAP module development and implementation.•   SAP certification is preferred.•   In-depth knowledge of business processes and their integration within SAP systems.•   Excellent command of English, both oral and written.•   Proven ability to effectively communicate complex technical concepts to both technical and non-technical audiences.•   Strong time management and organizational skills.•   Exceptional client relations and interpersonal skills, with a collaborative approach to teamwork.","Thưởng13th salary
K-bonusChăm sóc sức khoẻAON InsuranceNghỉ phép có lươngBirthday Leave
Christmas","46th Floor, Keangnam Landmark 72, E6 Pham Hung Road, Me Tri Ward"
1837463,IT Executive,Công Ty TNHH Chỉ May American & Efird Việt Nam,,,2,Đồng Nai,29 ngày,"- Manage and troubleshoot software, application, and hardware issues.- Install and configure computer operating systems and applications.- Participate in software/application system and hardware development projects.- Monitor and maintain computer systems and networks.- Assist employees or clients in system setup or issue resolution, both in person and over the phone.- Diagnose and resolve system, network, software, and hardware issues.- Provide procedural support, including documentation and relevant reports.- Follow diagrams and instructions to repair faults or set up systems.- Track tasks until completion or escalate to third parties if necessary.- Conduct electrical safety checks on computer equipment.- Prioritize and manage multiple open cases simultaneously.- Perform additional tasks as assigned by the direct manager.","- Background: Bachelor's degree- Work Experience: 2-5 years of relevant experience- Required Skills:+ Proficiency in Lotus Notes, including Workflow, JDE systems (as a software which belongs to a branch of ERP), and textile systems (hardware and software).+ Familiar with MES/ERP systems, including Workflow (hardware and software, SQL or Oracle databases.+ Strong understanding of applications, software, and programming code.+ Proficiency in computer networks, including installation, configuration, and maintenance in medium-sized businesses.+ Ability to provide direct IT support to users.+ Experience managing hosting and internet service providers.+ Strong command of English.- Other Requirements:+ Logical thinking and effective problem-solving skills.+ Team-oriented with excellent customer focus.- Working Hours:+ Monday - Friday, 7:30 am - 4:15 pm.+ Flexible working arrangement: minimum of 2 days in-office and up to 3 days remote.- Note:+ Personal health insurance card (PTI) for all employees.+ Provide laptop.+ Shuttle buses at Bien Hoa, HCM, Binh Duong route.+ Competitive salary.","ThưởngThe 13th month salary for full working yearChăm sóc sức khoẻPersonal health insurance (PTI)Giải thưởng5-year seniority award, 10 year-seniority awards, etcXem thêm","Lô 32, 33, KCN Nhơn Trạch 6, X. Long Thọ, H. Nhơn Trạch, Tỉnh Đồng Nai"
1833316,Product Director,Công Ty TNHH Ecomobi Pte,,,5,Hà Nội,16 ngày,"Key responsibilities:•	Work directly with the CEO to build a product Roadmap including requirements, features & solutions.•	Analyze business needs to build requirements, prototype designs, UI / UX designs.•	Research and analyze user behavior from data analysis reports to suggest product improvement.•	Cooperate with the Development team to develop products in quality and on schedule and responsible for product quality.•	Inform relevant departments of documents, development process and time mark.","Competencies:•	5+ years in an equivalent position with proven experience, holding a degree in product management or agile methodologies (PMP, PMI...), or transferable knowledge, for instance, working as a BA directly for products with similar traffic and user base to Ecomobi•	Ability to take responsibility: •	Lead the product-release plans and set expectations for delivery of new functionalities•	Serve as product ambassador internally and externally, sharing knowledge and answering questions•	Problem-solving skills•	Plan and prioritize product development and product feature backlog•	Develop detailed product feature specifications and ensure they’re clearly understood by relevant teams•	Assess value, develop cases, and prioritize stories, epics, and themes to ensure work aligns with product strategy•	Mitigate roadblocks to achieving sprint/release goals•	Business thinking ability to develop product roadmaps and familiarity with design thinking principles, delivering lean and agile software•	Superior design instincts with a keen eye for detail and a Value Driver personality.•	Excellent problem solving, leadership, risk management and analytical skills.•	Exceptional verbal and written communication skills - articulate and able to understand emerging technical/technology topics and their relevance.•	Expert in Research, Prioritization Skills•	At least 3+ years with Agile principles.•	Tactful and professional when working with stakeholders•	Have knowledge of Product Code & Release process, basic & extended Technical concepts, Basic at Database, Understand Technology response limits.•	Excellent communication skills in EnglishBenefits:•	100% Salary and allowances for 2-month Probation•	Lunch allowance: 40,000 VND/day worked, Laptop allowance: 400,000 VND/month, Free parking, Telephone subsidy: 500,000 VND/month•	Annual leave: 16 days/year. Employees get 1 day off on their birthday.•	Fund for Training & Development: annual training budget according to rank; the company also frequently organizes internal training courses and training with external instructors.•	Bonuses for holidays and special occasions: New Year's Day, March 8th, May 1st, September 2nd, October 20th, Mid-Autumn Festival, birthdays,...•	13th month salary; bonus based on working performance(quarterly) and Salary review twice a year•	4 full paid leaves/year for Family caring leave•	Personal Healthcare Insurance besides Social and Medical Insurance; annual health check-up•	Teambuilding: from 2-3 times/year, both local and overseas•	International working environment with foreign colleagues and partners•	Opportunities for professional training on jobs and skillsOther information:•	Flexible time: 9AM – 6PM (7,5 hours/day From Monday to Friday)","Thưởng100% Salary for ProbationChăm sóc sức khoẻPersonal Healthcare Insurance beside Social and Medical InsuranceCơ hội du lịchTeambuilding: from 2-3 times/year, both local and oversea","Viet Tower, 1 Thai Ha, Dong Da district, Ha Noi"
1834657,"Business Intelligence, Associate",Dezan Shira & Cộng Sự Việt Nam,,,1,Hà Nội,21 ngày,"Dezan Shira & Associates is a pan-Asia, multi-disciplinary professional services firm, providing legal, tax and operational advisory to international corporate investors. Operational throughout China, ASEAN and India, our mission is to guide foreign companies through Asia’s complex regulatory environment and assist them with all aspects of establishing, maintaining and growing their business operations in the region. With more than 25 years of on-the-ground experience and a large team of lawyers, tax experts and auditors, in addition to researchers and business analysts, we are your partner for growth in Asia.Dezan Shira’s Business Intelligence Department provides management consulting services to companies expanding into new markets across Asia. Key services include Market Research, Market Entry Strategy Development, Site Selection, and Business Matching.  More information on Dezan Shira’s Business Intelligence Department can be found here.Our Business Intelligence Department is looking for an Associate to join its project delivery team in Ha Noi City, Vietnam. The ideal candidate will be an independent self-starter with a firm grounding in trade and investment and a strong understanding of Vietnam’s business environment. Key Responsibilities:•	Primarily work on Market Research and Business Matching projects focused on Vietnam.•	Work within the delivery of cross-country business intelligence projects.•	Prepare service proposals and contracts and follow up with potential or existing clients to conclude agreements for the provision of services.•	Accompany clients on visits to potential partners, industrial parks, and other locations of interest.•	Build a network of contacts with industrial zones, research agencies, embassies and consulates, foreign trade promotion agencies and other parties of interest.•	Regularly monitor business, economic and regulatory news in Vietnam and ASEAN.•	Develop, maintain and update BI databases and datasets.•	Participate in marketing and business development activities when necessary.","Skills•	Excellent communication (spoken and written) in English and Vietnamese. Role will require composition of reports in English as well as exchanging emails and phone calls in both languages.•	Familiarity with international trade law, particularly free trade agreements; knowledge of Vietnamese legal and tax systems is a plus.•	Strong understanding of statistical data and ability to draw insights from portals such as Trademap.org, the World Bank, and the IMF.•	Fluency with Microsoft Excel, Word, PowerPoint. •	Good communication skills and a desire to meet and interact with business people.Educational Background•	Bachelor’s degree or higher in economics or business.•	Educational experience abroad is a notable advantage.Experience•	1-2 years full-time related working experiences in research, consulting, business intelligence or in an international organization, foreign trade promotion agency or in a foreign company doing business internationally.Working Relations•	Maintain good relations within and across departments to increase cross selling opportunities•	Work effectively under pressure•	Master new skills with little support under tight timeframes•	Communicate effectively across geographic and cultural barriers with team members from ASEAN, China, India, EU, USA.•	Report directly to Dezan Shira’s Manager of Business Intelligence while working closely with business development and marketing staff within Vietnam to promote and sell servicesSalary & BenefitsSalary•	Local labor contract •	Salary is negotiable depending on working experience and educational backgroundBenefits•	Year-end bonus, annual salary review•	Social insurance, allowances (transportation, mobile, meal, etc.)•	Training & development scheme, 12 days of annual leave, company trip",ThưởngCompetitive salary and benefit; 13th month salary; Lunch allowanceChăm sóc sức khoẻFull Contribution Of Social InsuranceNghỉ phép có lương12 days of annual leave and 6 days of sick leave per year,"No. 19 Duy Tan Street, Cau Giay New Urban Area Cau Giay District, Hanoi"
1836049,Chuyên Viên IT (Công Ty Chứng Khoán),Công Ty Cổ Phần Chứng Khoán Asam,,,3,Hồ Chí Minh,24 ngày,"1. Vận hành:−	Thực hiện vận hành hệ thống CNTT theo sự phân công, đảm bảo hệ thống giao dịch an toàn, đúng quy trình.−	Tham gia quản lý và vận hành hạ tầng Server tại Data Center và phòng Server tại Văn phòng.−	Network:   •	Vận hành hệ thống mạng mô hình 3 lớp với  : LAN,WAN, DMZ, kết nối Sở giao dịch chứng khoán với các dòng thiết bị Firewall Paloalto PA 820 ,Fortinet 201F – 101F – ADC – 81E, Router Cisco 4221 – 4331, Switch Cisco 9200 – 9300.−	System:   •	Cài đặt , cấu hình ,vận hành hệ thống ảo hóa Vmware ,các hệ thống máy chủ Windows Server, Linux Server (Redhat, Ubuntu, CentOS) với dòng máy chủ DELL ,IBM , HP.   •	Hệ thống lưu trữ & backup  : NAS , SAN storage ,Veeam ,…   •	Tổng đài ghi âm (PBX, CCTV) : grand stream ,asterisk, Hkvision,..	−	Phần mềm ,Core giao dịch chứng khoán:   •	Vận hành hệ thống phần mềm giao dịch công ty chứng khoán (HOS back office , webtrading , Mobile app, Database), hỗ trợ báo cáo và xử lý các nghiệp vụ chứng khoán cho người dùng.   •	Thực hiện sao lưu, phục hồi các dữ liệu hệ thống lưu trữ trên Windows,Linux , ảo hóa Vmware,Database, và hệ thống mạng tại công ty.    •	Vận hành Website, Backup dữ liệu định kỳ của các phần mềm. −	 Giám sát hệ thống, phối hợp với các nhà cung cấp các dịch vụ cho Công ty để phát hiện những bất thường và khắc phục sự cố về giao dịch trong thời gian nhanh nhất. −	Sao lưu dữ liệu các hệ thống theo đúng quy định, tần suất, đảm bảo các bản sao lưu an toàn và có khả năng khôi phục.−	Phối hợp với phòng ban nhóm nghiệp vụ khác thực hiện các dự án CNTT .−	Thực hiện các công việc khác theo phân công của cấp quản lý. 2. Hỗ trợ:−	Tiếp nhận yêu cầu, giải đáp hỗ trợ người dùng về các vấn đề phát sinh trong quá trình làm việc và sử dụng thiết bị CNTT.−	Khắc phục các lỗi liên quan đến phần cứng PC, laptop, máy in … cho người dùng.−	Quản lý hệ thống mạng nội bộ: Lan , Wan , Wifi , tồng đài điện thoại ,camera  …−	Thực hiện lắp đặt, bảo hành, bảo trì các thiết bị CNTT.=====================================1. Operate:−	Operate the IT system as assigned, ensuring the transaction system is safe and follows correct procedures.−	Participate in managing and operating Server infrastructure at Data Center and Server room at Office.−	Network :   •	Operating a 3-layer network system with: LAN, WAN, DMZ, connecting to the Stock Exchange with Firewall device lines Paloalto PA 820, Fortinet 201F - 101F - ADC - 81E, Cisco Router 4221 - 4331, Switch Cisco 9200 – 9300).−	System :   •	Install, configure, operate Vmware virtualization system, Windows Server, Linux Server (Redhat, Ubuntu, CentOS) server systems with DELL, IBM, HP ).   •	Storage & backup system: NAS, SAN storage, Veeam,…   •	Recording switchboard (PBX, CCTV): grand stream, asterisk, Hkvision,..−	Software , Core trading:   •	Operate securities company trading software system (HOS back office, webtrading, Mobile app, Database), support reporting and process securities operations for users).   •	Backup and recovery of system data stored on Windows, Linux, Vmware virtualization, Database, and network systems at the company.   •	Operate the website, periodically backup data of the software.−	Monitor the system, coordinate with vendor to detect errors and fix transaction problems in the fastest.−	Back up system data according to regulations and frequency, ensuring backups are safe and recoverable.−	Coordinate with other team to implement IT projects.−	In charge of other tasks as assigned by management.2. Support Helpdesk:−	Receive requests, answer and support users with theirs problems at work.−	Fix errors from PC hardware, laptops, printers... for users.−	Management, fix network system: Internet, Lan, Wan, Wifi, PBX, CCTV…−	Installation, warranty and maintenance of IT device.","1-	Tốt nghiệp Cao đẳng/Đại Học, Chuyên ngành Công Nghệ Thông tin, hoặc các ngành liên quan 2-	Chứng chỉ: MCSA,MCSE,CCNA,CCNP, Linux LPI 1 &2, CEH hoặc tương đương, các chứng chỉ CSDL, Phần mềm.3-	Có ít nhất 03 năm kinh nghiệm tại vị trí tương đương.4-	Ưu tiên ứng viên làm vị trí tương tự 02 năm trong ngành chứng khoán, tài chính, ngân hàng.5-	Phối hợp, làm việc nhóm, trung thực, nhiệt tình, sáng tạo và tinh thần trách nhiệm cao trong công việc. 6-	Các kỹ năng/Phần mềm có thể sử dụng :- Kỹ năng phân tích, nhận định, chẩn đoán , xử lý và giải quyết vấn đề. - Có kỹ năng làm việc nhóm, làm việc độc lập.- Giao tiếp tốt tiếng Anh.====================================1-	Graduated from College/University, majoring in Information Technology, or related fields. 2-	Certificates: MCSA, MCSE, CCNA, CCNP, Linux LPI 1 & 2, CEH or equivalent, database and software certificates.3-	Have at least 03 years of experience in a similar position.4-	Priority is given to candidates who have worked in a similar position for 02 years in the securities, finance, and banking industry.5-	Coordination, teamwork, honesty, enthusiasm, creativity and high sense of responsibility at work.6-	Skills/Software that can be used:- Skills in analyzing, identifying, diagnosing, handling and solving problems.- Have teamwork skills and work independently.- Good communication in English.",ThưởngFull Social Security as Labour CodeĐào tạoSecurities CertificateMáy tính xách tayLaptop,"3 Lê Thánh Tôn, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh, Việt Nam"
1831533,Kỹ Sư Chất Lượng (Thành thạo Tiếng Trung),Navigos Search's Client,36.0,38.4,0,Hưng Yên,10 ngày,Khách hàng của Navigos Search là công ty sản xuất FDI 100% vốn của Đài Loan đang set up cần tuyển Kỹ sư chất lượngQS品質系統部分：1.ISO9001/14001、RBA、QC080000、IATF16949 品質系統持續導入、執行及管理維護2.內部稽核、管理審查及外部認證安排及執行3.文件管理系統執行及維護4.品質教育訓練規劃與安排5.RoHS、REACH、安規等資料審核6.GP、環保法規、客戶要求的收集及更新7.主管交辦事項處理QE品質工程部分：1.負責Cable開發階段工程ISO文件與產品承認書收集整理2.英文版本DQA、Reliability Test文件填寫與實驗安排3.撰寫英文版本產品Specification與測試計畫、測試報告書4.ORT計畫追蹤，安排送測執行，報告撰寫歸檔5.半成品、新材料驗證，實驗設計與測試報告6.主管交辦事項處理,- Tốt nghiệp Đại học- Có ít nhất 3 năm kinh nghiệm làm vị trí tương đương trong các nhà máy sản xuất điện tử - Có thể làm việc được ở Hưng Yên- Thành thạo tiếng Trung,"Nghỉ phép có lươngCông ty mới set up, nhiều chế độ thăng tiếnMáy tính xách tayMức lương hấp dẫn","Hưng Yên, Việt Nam"
